"Plot Title: CM1W"
"#","Date Time, GMT-08:00","Abs Pres, psi (LGR S/N: 10960660, SEN S/N: 10960660)","Temp, °F (LGR S/N: 10960660, SEN S/N: 10960660)","Abs Pres Barom., psi (LGR S/N: 20214178, SEN S/N: 20214178)","Sensor Depth, feet (LGR S/N: 10960660)","Coupler Detached (LGR S/N: 10960660)","Coupler Attached (LGR S/N: 10960660)","Host Connected (LGR S/N: 10960660)","End Of File (LGR S/N: 10960660)"
1,08/18/20 08:30:00 AM,,,12.4692,,,,,
2,08/18/20 09:00:00 AM,,,12.4738,,,,,
3,08/18/20 09:30:00 AM,,,12.4761,,,,,
4,08/18/20 10:00:00 AM,,,12.4743,,,,,
5,08/18/20 10:30:00 AM,,,12.4714,,,,,
6,08/18/20 11:00:00 AM,,,12.4643,,,,,
7,08/18/20 11:30:00 AM,,,12.4624,,,,,
8,08/18/20 12:00:00 PM,,,12.4590,,,,,
9,08/18/20 12:30:00 PM,,,12.4567,,,,,
10,08/18/20 01:00:00 PM,,,12.4551,,,,,
11,08/18/20 01:30:00 PM,,,12.4538,,,,,
12,08/18/20 02:00:00 PM,,,12.4513,,,,,
13,08/18/20 02:30:00 PM,,,12.4441,,,,,
14,08/18/20 03:00:00 PM,,,12.4435,,,,,
15,08/18/20 03:30:00 PM,,,12.4348,,,,,
16,08/18/20 04:00:00 PM,,,12.4323,,,,,
17,08/18/20 04:30:00 PM,,,12.4286,,,,,
18,08/18/20 05:00:00 PM,,,12.4258,,,,,
19,08/18/20 05:30:00 PM,,,12.4203,,,,,
20,08/18/20 06:00:00 PM,,,12.4186,,,,,
21,08/18/20 06:30:00 PM,,,12.4203,,,,,
22,08/18/20 07:00:00 PM,,,12.4249,,,,,
23,08/18/20 07:30:00 PM,,,12.4289,,,,,
24,08/18/20 08:00:00 PM,,,12.4344,,,,,
25,08/18/20 08:30:00 PM,,,12.4348,,,,,
26,08/18/20 09:00:00 PM,,,12.4352,,,,,
27,08/18/20 09:30:00 PM,,,12.4360,,,,,
28,08/18/20 10:00:00 PM,,,12.4370,,,,,
29,08/18/20 10:30:00 PM,,,12.4329,,,,,
30,08/18/20 11:00:00 PM,,,12.4321,,,,,
31,08/18/20 11:30:00 PM,,,12.4326,,,,,
32,08/19/20 12:00:00 AM,,,12.4328,,,,,
33,08/19/20 12:30:00 AM,,,12.4305,,,,,
34,08/19/20 01:00:00 AM,,,12.4321,,,,,
35,08/19/20 01:30:00 AM,,,12.4278,,,,,
36,08/19/20 02:00:00 AM,,,12.4274,,,,,
37,08/19/20 02:30:00 AM,,,12.4260,,,,,
38,08/19/20 03:00:00 AM,,,12.4232,,,,,
39,08/19/20 03:30:00 AM,,,12.4255,,,,,
40,08/19/20 04:00:00 AM,,,12.4210,,,,,
41,08/19/20 04:30:00 AM,,,12.4176,,,,,
42,08/19/20 05:00:00 AM,,,12.4191,,,,,
43,08/19/20 05:30:00 AM,,,12.4181,,,,,
44,08/19/20 06:00:00 AM,,,12.4222,,,,,
45,08/19/20 06:30:00 AM,,,12.4257,,,,,
46,08/19/20 07:00:00 AM,,,12.4287,,,,,
47,08/19/20 07:30:00 AM,,,12.4225,,,,,
48,08/19/20 08:00:00 AM,,,12.4210,,,,,
49,08/19/20 08:30:00 AM,,,12.4206,,,,,
50,08/19/20 09:00:00 AM,,,12.4219,,,,,
51,08/19/20 09:30:00 AM,,,12.4228,,,,,
52,08/19/20 10:00:00 AM,,,12.4194,,,,,
53,08/19/20 10:30:00 AM,,,12.4218,,,,,
54,08/19/20 11:00:00 AM,,,12.4232,,,,,
55,08/19/20 11:30:00 AM,,,12.4264,,,,,
56,08/19/20 12:00:00 PM,,,12.4216,,,,,
57,08/19/20 12:30:00 PM,,,12.4225,,,,,
58,08/19/20 01:00:00 PM,,,12.4225,,,,,
59,08/19/20 01:30:00 PM,,,12.4216,,,,,
60,08/19/20 02:00:00 PM,,,12.4216,,,,,
61,08/19/20 02:30:00 PM,,,12.4139,,,,,
62,08/19/20 03:00:00 PM,,,12.4099,,,,,
63,08/19/20 03:30:00 PM,,,12.4054,,,,,
64,08/19/20 04:00:00 PM,,,12.3997,,,,,
65,08/19/20 04:30:00 PM,,,12.3977,,,,,
66,08/19/20 05:00:00 PM,,,12.3962,,,,,
67,08/19/20 05:30:00 PM,,,12.3917,,,,,
68,08/19/20 06:00:00 PM,,,12.3948,,,,,
69,08/19/20 06:30:00 PM,,,12.3968,,,,,
70,08/19/20 07:00:00 PM,,,12.3978,,,,,
